subhalo_id,objid,mass,star_forming,has_agn,classification
11248.jpg,587725589847277640,13989461583.670301,True,False,elliptical
237256.jpg,588023670244048916,130590324186.13483,False,True,elliptical
16429.jpg,587726016161382575,46047281947.04428,False,False,elliptical
54021.jpg,587732482222063641,6017304650.898404,True,False,elliptical
235626.jpg,588023047472218188,4505562308.192442,True,False,elliptical
87330.jpg,587735697523867781,3307158427.2222805,True,False,elliptical
155661.jpg,587741603109863446,47618202767.932106,False,False,elliptical
72980.jpg,587734621637968089,35287183835.45778,False,False,elliptical
151923.jpg,587741532247294060,4562732415.199972,False,False,elliptical
69152.jpg,587733440512262389,36842916346.41437,False,False,elliptical
240700.jpg,588298661967167635,7075057927.08637,True,False,elliptical
148176.jpg,587741387275042850,4351600319.80241,True,False,elliptical
184258.jpg,587742865288200309,8234571408.263491,True,False,elliptical
177085.jpg,587742589869949155,6117697517.6466675,False,False,elliptical
36608.jpg,587729651811287290,7489434035.447606,False,False,elliptical
37191.jpg,587729653961654356,9666271741.32602,True,False,elliptical
197200.jpg,588010360697389209,5016409712.109049,False,False,elliptical
185597.jpg,587744727686185127,10323049266.3734,False,False,elliptical
51863.jpg,587732135916142673,14163937444.033316,False,False,elliptical
220189.jpg,588017720108187726,16303393093.009228,False,False,elliptical
107248.jpg,587737827289268359,6765034254.917345,True,False,elliptical
199875.jpg,588011103714214036,15507971706.933521,False,False,elliptical
136029.jpg,587739707420901592,8242842468.737801,False,False,elliptical
36845.jpg,587729652884439294,6560742611.205937,False,False,elliptical
32804.jpg,587729228763693117,11423100560.033667,True,False,elliptical
132899.jpg,587739610234945703,23812555213.103844,False,False,elliptical
38082.jpg,587729752742232082,6996196518.166775,False,False,elliptical
36606.jpg,587729651811221762,22029213906.336647,False,False,elliptical
72040.jpg,587733609090777297,3708941641.864036,False,False,elliptical
178447.jpg,587742614558474437,15252885144.532381,False,False,elliptical
235866.jpg,588023048021606445,25056649616.243267,False,False,elliptical
51808.jpg,587732135388708933,8557324479.000384,True,False,elliptical
113030.jpg,587738572462161965,127060628727.10364,False,True,elliptical
36620.jpg,587729651811746047,2664121331.9412413,False,False,elliptical
65734.jpg,587733397572747482,17141783275.804052,False,False,elliptical
116086.jpg,587738947752558770,6740824185.546837,True,False,elliptical
180481.jpg,587742644625604810,27423823176.15698,False,False,elliptical
134903.jpg,587739706328481876,1834412495.40136,True,False,elliptical
62251.jpg,587732771572809924,6220008812.513126,True,False,elliptical
70199.jpg,587733603728949639,16339659421.535885,False,False,elliptical
138715.jpg,587739720847917116,5109448192.969915,True,False,elliptical
11316.jpg,587725590381920320,77403393263.11513,False,False,elliptical
177325.jpg,587742594158166031,72473293835.93779,False,False,elliptical
110505.jpg,587738409795911799,20346044966.933327,False,False,elliptical
214723.jpg,588017627223359551,5354907829.408066,False,False,elliptical
34337.jpg,587729386609967186,24902617618.029774,False,False,elliptical
291373.jpg,588015508750598236,11341173645.350517,False,False,elliptical
201514.jpg,588011218603999364,12463413388.220228,False,False,elliptical
644.jpg,587722982819627098,9736099419.22075,True,False,elliptical
122598.jpg,587739303681458365,13900070405.09791,False,False,elliptical
137362.jpg,587739719754842189,137451663426.38657,False,False,elliptical
84222.jpg,587735663161311290,164607644386.46384,False,False,elliptical
113820.jpg,587738615949361218,40033263950.93419,False,False,elliptical
46400.jpg,587731869094379567,63258224763.3662,False,False,elliptical
38376.jpg,587729772610060444,17296610272.64544,False,False,elliptical
97918.jpg,587736807225753613,19222328727.75201,False,True,elliptical
170665.jpg,587742190447034449,60027602776.668,False,False,elliptical
210547.jpg,588017569779548214,246545454524.56317,False,False,elliptical
159050.jpg,587741726040719431,63335032829.48837,False,False,elliptical
26389.jpg,587728881416536113,13419767757.57017,True,False,elliptical
50251.jpg,587732050561925168,8275971758.888443,False,False,elliptical
266071.jpg,587742626909716605,11423100560.033667,True,False,elliptical
36688.jpg,587729652348289223,41864797994.78311,False,False,elliptical
49779.jpg,587732048943972412,141990078732.18643,False,False,elliptical
72021.jpg,587733609090449533,171584478858.95178,False,False,elliptical
145503.jpg,587739845921210538,43625458058.94842,False,False,elliptical
174614.jpg,587742573222953031,151068181022.32352,False,False,elliptical
160251.jpg,587741816247812149,155144362787.82922,False,True,elliptical
165717.jpg,587742059993759832,24398324322.077793,True,False,elliptical
217054.jpg,588017703462699131,213648082814.57993,False,False,elliptical
61443.jpg,587732770507522057,175804909926.7174,False,False,elliptical
187493.jpg,587745402542030890,205597580728.46884,False,False,elliptical
41554.jpg,587730022260670790,165211395654.04895,False,False,elliptical
130052.jpg,587739504477077652,7326524394.827,False,False,elliptical
160453.jpg,587741816781144189,197409932494.295,False,False,elliptical
