image_path,subhalo_id,mass,star_forming,has_agn,is_compact,metallicity,classification,is_metalrich
llustrisTNG/subhalo_0.png,0,3682930000000,False,False,True,0.03570494,elliptical,1
llustrisTNG/subhalo_1.png,1,267313630000,False,False,True,0.034155123,spiral,1
llustrisTNG/subhalo_2.png,2,130253710000,False,False,True,0.028685456,elliptical,1
llustrisTNG/subhalo_8.png,8,25283295000,True,True,True,0.023264028000000003,spiral,1
llustrisTNG/subhalo_11.png,11,25394104000,True,False,False,0.021453759000000003,spiral,1
llustrisTNG/subhalo_12.png,12,24893727000,True,False,False,0.024541052,spiral,1
llustrisTNG/subhalo_17.png,17,5776425000,True,False,True,0.019496279000000002,spiral,1
llustrisTNG/subhalo_18.png,18,14483055000,True,False,False,0.021737915,spiral,1
llustrisTNG/subhalo_19.png,19,3822634800,True,False,False,0.012651947,irregular,0
llustrisTNG/subhalo_20.png,20,12410797000,True,True,True,0.024508577,spiral,1
llustrisTNG/subhalo_28.png,28,5518101500,True,False,True,0.022593845,elliptical,1
llustrisTNG/subhalo_29.png,29,3898862000,True,False,True,0.020834766,spiral,1
llustrisTNG/subhalo_37.png,37,2640554500,True,False,False,0.012192595,spiral,0
llustrisTNG/subhalo_40.png,40,7985815000,False,False,True,0.028540518,elliptical,1
llustrisTNG/subhalo_44.png,44,2529808400,True,False,False,0.013173884,spiral,0
llustrisTNG/subhalo_51.png,51,4245593900,False,False,False,0.017987479,elliptical,1
llustrisTNG/subhalo_52.png,52,5386721300,False,False,False,0.022050392000000002,elliptical,1
llustrisTNG/subhalo_54.png,54,4449645000,False,False,True,0.020923264,elliptical,1
llustrisTNG/subhalo_60.png,60,2587812900,False,False,False,0.01545272,elliptical,1
llustrisTNG/subhalo_66.png,66,2434931200,False,False,False,0.016343985000000002,elliptical,1
llustrisTNG/subhalo_67.png,67,3830967800,True,False,True,0.021818047,elliptical,1
llustrisTNG/subhalo_72.png,72,4601269000,False,False,True,0.032461546,elliptical,1
llustrisTNG/subhalo_77.png,77,3606830800,False,False,True,0.023445565,elliptical,1
llustrisTNG/subhalo_79.png,79,3141363000,False,False,False,0.018405009,irregular,1
llustrisTNG/subhalo_98.png,98,2391058700,False,False,False,0.018182637,elliptical,1
llustrisTNG/subhalo_101.png,101,3164772600,False,False,True,0.041388124000000005,irregular,1
llustrisTNG/subhalo_63864.png,63864,1066460050000,False,False,True,0.03138655,elliptical,1
llustrisTNG/subhalo_63865.png,63865,231848330000,True,False,True,0.032869365000000005,spiral,1
llustrisTNG/subhalo_63866.png,63866,174348730000,False,False,True,0.032975513000000005,elliptical,1
llustrisTNG/subhalo_63867.png,63867,63218516000,True,False,True,0.025086444000000003,spiral,1
llustrisTNG/subhalo_63868.png,63868,54627760000,True,False,True,0.024081187,spiral,1
llustrisTNG/subhalo_63869.png,63869,31908045000,True,False,True,0.021243183000000002,spiral,1
llustrisTNG/subhalo_63872.png,63872,27697370000,True,False,False,0.021812439000000003,spiral,1
llustrisTNG/subhalo_63873.png,63873,57481216000,False,False,True,0.041879434,elliptical,1
llustrisTNG/subhalo_63874.png,63874,49198887000,False,False,True,0.034865428000000004,elliptical,1
llustrisTNG/subhalo_63875.png,63875,30953810000,False,False,True,0.029515337000000003,elliptical,1
llustrisTNG/subhalo_63876.png,63876,18572292000,False,False,True,0.026521804000000003,elliptical,1
